Anwendung,Raumwärme,Warmwasser,< 100 °C,100 °C - 500 °C,500 °C - 1000 °C,>1000 °C,Total
Einheit,in kW,in kW,in kW,in kW,in kW,in kW,in kW
Zeit,,,,,,,
2020-07-12 23:30:00,16063,11038,1530944,2355469,5418462,1530944,10956131
2020-07-12 23:45:00,16063,11038,1543086,2373129,5458198,1543086,11037811
2020-07-13 00:00:00,16063,11038,1543086,2373129,5458198,1543086,11037811
2020-07-13 00:15:00,16063,11038,1543086,2373129,5458198,1543086,11037811
2020-07-13 00:30:00,16063,11038,1543086,2373129,5458198,1543086,11037811
2020-07-13 00:45:00,16063,11038,1543086,2373129,5458198,1543086,11037811
2020-07-13 01:00:00,16063,11038,1543086,2373129,5458198,1543086,11037811
2020-07-13 01:15:00,16063,11038,1545294,2377545,5468132,1545294,11057679
2020-07-13 01:30:00,16225,11038,1548605,2381960,5478066,1548605,11077547
2020-07-13 01:45:00,16225,11038,1550812,2385271,5485792,1550812,11093000
2020-07-13 02:00:00,16225,11038,1551916,2386375,5489104,1551916,11100727
2020-07-13 02:15:00,16225,11038,1550812,2386375,5488000,1550812,11097415
2020-07-13 02:30:00,16225,11038,1549709,2383063,5481377,1549709,11085274
2020-07-13 02:45:00,16225,11038,1547501,2379752,5473651,1547501,11068717
2020-07-13 03:00:00,16063,11038,1545294,2376441,5465924,1545294,11053264
2020-07-13 03:15:00,16063,11038,1543086,2374233,5459301,1543086,11040019
2020-07-13 03:30:00,16063,11038,1541982,2372026,5455990,1541982,11033396
2020-07-13 03:45:00,16063,11038,1541982,2372026,5455990,1541982,11032292
2020-07-13 04:00:00,16063,11038,1543086,2373129,5459301,1543086,11038915
2020-07-13 04:15:00,16063,11038,1545294,2377545,5467028,1545294,11055472
2020-07-13 04:30:00,16225,11038,1548605,2383063,5480273,1548605,11081962
2020-07-13 04:45:00,16225,11038,1554124,2390790,5499038,1554124,11119491
2020-07-13 05:00:00,16225,11038,1560747,2400724,5523321,1560747,11168057
2020-07-13 05:15:00,16388,11038,1569577,2413969,5553123,1569577,11227662
2020-07-13 05:30:00,16550,11038,1579511,2429422,5587340,1579511,11299407
2020-07-13 05:45:00,16550,11038,1590549,2447083,5627076,1590549,11378880
2020-07-13 06:00:00,16712,12142,1602690,2465847,5671227,1602690,11467182
2020-07-13 06:15:00,16874,12142,1615936,2485715,5717586,1615936,11561003
2020-07-13 06:30:00,17037,12142,1629181,2506687,5765049,1629181,11658136
2020-07-13 06:45:00,17199,12142,1643530,2527659,5813615,1643530,11756373
2020-07-13 07:00:00,17361,12142,1656775,2548631,5861078,1656775,11851298
2020-07-13 07:15:00,17361,12142,1668917,2567395,5905229,1668917,11941808
2020-07-13 07:30:00,17523,12142,1681059,2586159,5947173,1681059,12025695
2020-07-13 07:45:00,17686,12142,1690993,2601612,5984701,1690993,12100752
2020-07-13 08:00:00,17686,12142,1699823,2615961,6016711,1699823,12165876
2020-07-13 08:15:00,17848,12142,1707549,2626999,6042098,1707549,12218857
2020-07-13 08:30:00,17848,12142,1713068,2635829,6063070,1713068,12260801
2020-07-13 08:45:00,18010,12142,1717483,2642452,6078523,1717483,12291707
2020-07-13 09:00:00,18010,12142,1720795,2646867,6088457,1720795,12312678
2020-07-13 09:15:00,18010,12142,1721899,2650178,6093976,1721899,12323716
2020-07-13 09:30:00,18010,12142,1723002,2650178,6096183,1723002,12327028
2020-07-13 09:45:00,18010,12142,1723002,2650178,6095079,1723002,12325924
2020-07-13 10:00:00,18010,12142,1721899,2650178,6093976,1721899,12323716
2020-07-13 10:15:00,18010,12142,1721899,2649075,6093976,1721899,12321509
2020-07-13 10:30:00,18010,12142,1721899,2649075,6092872,1721899,12321509
2020-07-13 10:45:00,18010,12142,1721899,2649075,6093976,1721899,12322612
2020-07-13 11:00:00,18010,12142,1723002,2650178,6096183,1723002,12325924
2020-07-13 11:15:00,18010,12142,1723002,2651282,6098391,1723002,12331443
2020-07-13 11:30:00,18010,12142,1724106,2652386,6101702,1724106,12336962
2020-07-13 11:45:00,18010,12142,1725210,2654594,6105013,1725210,12343584
2020-07-13 12:00:00,18010,12142,1726314,2655697,6107221,1726314,12350207
2020-07-13 12:15:00,18010,12142,1727417,2656801,6110532,1727417,12356830
2020-07-13 12:30:00,18010,12142,1727417,2657905,6112740,1727417,12360141
2020-07-13 12:45:00,18010,12142,1727417,2657905,6113844,1727417,12362349
2020-07-13 13:00:00,18010,12142,1727417,2657905,6112740,1727417,12361245
2020-07-13 13:15:00,18010,12142,1726314,2656801,6110532,1726314,12355726
2020-07-13 13:30:00,18010,12142,1725210,2654594,6106117,1725210,12346896
2020-07-13 13:45:00,18010,12142,1724106,2652386,6099494,1724106,12333650
2020-07-13 14:00:00,18010,12142,1720795,2647971,6090664,1720795,12315990
2020-07-13 14:15:00,18010,12142,1718587,2643556,6079626,1718587,12293914
2020-07-13 14:30:00,17848,12142,1714172,2636933,6066381,1714172,12266320
2020-07-13 14:45:00,17848,12142,1709757,2630310,6050928,1709757,12235414
2020-07-13 15:00:00,17848,12142,1705342,2623688,6033268,1705342,12200093
2020-07-13 15:15:00,17686,12142,1699823,2614857,6014503,1699823,12161460
2020-07-13 15:30:00,17686,12142,1694304,2606027,5993531,1694304,12119517
2020-07-13 15:45:00,17686,12142,1687681,2596093,5971456,1687681,12075365
2020-07-13 16:00:00,17523,12142,1681059,2586159,5949380,1681059,12030110
2020-07-13 16:15:00,17523,12142,1674436,2576225,5926201,1674436,11983752
2020-07-13 16:30:00,17361,12142,1668917,2567395,5904125,1668917,11939600
2020-07-13 16:45:00,17361,12142,1662294,2557461,5883153,1662294,11896553
2020-07-13 17:00:00,17361,12142,1656775,2548631,5863285,1656775,11855713
2020-07-13 17:15:00,17199,12142,1651257,2540904,5844521,1651257,11818184
2020-07-13 17:30:00,17199,12142,1646841,2534281,5827964,1646841,11785071
2020-07-13 17:45:00,17199,12142,1642426,2527659,5813615,1642426,11755269
2020-07-13 18:00:00,17199,12142,1639115,2522140,5801474,1639115,11730986
2020-07-13 18:15:00,17037,12142,1636907,2517725,5791540,1636907,11712221
2020-07-13 18:30:00,17037,12142,1634700,2515517,5784917,1634700,11697872
2020-07-13 18:45:00,17037,12142,1633596,2512206,5779398,1633596,11686835
2020-07-13 19:00:00,17037,12142,1632492,2511102,5776087,1632492,11679108
2020-07-13 19:15:00,17037,12142,1631388,2509998,5773879,1631388,11674693
2020-07-13 19:30:00,17037,12142,1631388,2509998,5771671,1631388,11672485
2020-07-13 19:45:00,17037,12142,1631388,2508894,5771671,1631388,11670278
2020-07-13 20:00:00,17037,12142,1630285,2508894,5770568,1630285,11668070
2020-07-13 20:15:00,17037,12142,1630285,2507791,5768360,1630285,11664759
2020-07-13 20:30:00,17037,12142,1629181,2506687,5766153,1629181,11659240
2020-07-13 20:45:00,17037,12142,1628077,2505583,5761737,1628077,11651514
2020-07-13 21:00:00,17037,12142,1626973,2502272,5756219,1626973,11639372
2020-07-13 21:15:00,17037,12142,1624766,2498960,5747388,1624766,11621711
2020-07-13 21:30:00,16874,12142,1621454,2494545,5736350,1621454,11599636
2020-07-13 21:45:00,16874,12142,1617039,2487923,5723105,1617039,11572041
2020-07-13 22:00:00,16874,12142,1612624,2480196,5705445,1612624,11537824
2020-07-13 22:15:00,16712,12142,1607105,2471366,5684473,1607105,11495880
2020-07-13 22:30:00,16712,12142,1599379,2461432,5660190,1599379,11446210
2020-07-13 22:45:00,16550,12142,1591652,2448187,5631491,1591652,11387710
2020-07-13 23:00:00,16550,11038,1581718,2433837,5598378,1581718,11321483
2020-07-13 23:15:00,16388,11038,1567369,2410658,5545396,1567369,11213312
2020-07-13 23:30:00,16225,11038,1548605,2383063,5480273,1548605,11081962
2020-07-13 23:45:00,16063,11038,1543086,2373129,5458198,1543086,11037811
2020-07-14 00:00:00,16063,11038,1543086,2373129,5458198,1543086,11037811
2020-07-14 00:15:00,16063,11038,1543086,2373129,5458198,1543086,11037811
2020-07-14 00:30:00,16063,11038,1543086,2373129,5458198,1543086,11037811
2020-07-14 00:45:00,16063,11038,1543086,2373129,5458198,1543086,11037811
2020-07-14 01:00:00,16063,11038,1543086,2373129,5458198,1543086,11037811
2020-07-14 01:15:00,16063,11038,1545294,2377545,5468132,1545294,11057679
2020-07-14 01:30:00,16225,11038,1548605,2381960,5478066,1548605,11077547
2020-07-14 01:45:00,16225,11038,1550812,2385271,5485792,1550812,11093000
2020-07-14 02:00:00,16225,11038,1551916,2386375,5489104,1551916,11100727
2020-07-14 02:15:00,16225,11038,1550812,2386375,5488000,1550812,11097415
2020-07-14 02:30:00,16225,11038,1549709,2383063,5481377,1549709,11085274
2020-07-14 02:45:00,16225,11038,1547501,2379752,5473651,1547501,11068717
2020-07-14 03:00:00,16063,11038,1545294,2376441,5465924,1545294,11053264
2020-07-14 03:15:00,16063,11038,1543086,2374233,5459301,1543086,11040019
2020-07-14 03:30:00,16063,11038,1541982,2372026,5455990,1541982,11033396
2020-07-14 03:45:00,16063,11038,1541982,2372026,5455990,1541982,11032292
2020-07-14 04:00:00,16063,11038,1543086,2373129,5459301,1543086,11038915
2020-07-14 04:15:00,16063,11038,1545294,2377545,5467028,1545294,11055472
2020-07-14 04:30:00,16225,11038,1548605,2383063,5480273,1548605,11081962
2020-07-14 04:45:00,16225,11038,1554124,2390790,5499038,1554124,11119491
2020-07-14 05:00:00,16225,11038,1560747,2400724,5523321,1560747,11168057
2020-07-14 05:15:00,16388,11038,1569577,2413969,5553123,1569577,11227662
2020-07-14 05:30:00,16550,11038,1579511,2429422,5587340,1579511,11299407
2020-07-14 05:45:00,16550,11038,1590549,2447083,5627076,1590549,11378880
2020-07-14 06:00:00,16712,12142,1602690,2465847,5671227,1602690,11467182
2020-07-14 06:15:00,16874,12142,1615936,2485715,5717586,1615936,11561003
2020-07-14 06:30:00,17037,12142,1629181,2506687,5765049,1629181,11658136
2020-07-14 06:45:00,17199,12142,1643530,2527659,5813615,1643530,11756373
2020-07-14 07:00:00,17361,12142,1656775,2548631,5861078,1656775,11851298
2020-07-14 07:15:00,17361,12142,1668917,2567395,5905229,1668917,11941808
2020-07-14 07:30:00,17523,12142,1681059,2586159,5947173,1681059,12025695
2020-07-14 07:45:00,17686,12142,1690993,2601612,5984701,1690993,12100752
2020-07-14 08:00:00,17686,12142,1699823,2615961,6016711,1699823,12165876
2020-07-14 08:15:00,17848,12142,1707549,2626999,6042098,1707549,12218857
2020-07-14 08:30:00,17848,12142,1713068,2635829,6063070,1713068,12260801
2020-07-14 08:45:00,18010,12142,1717483,2642452,6078523,1717483,12291707
2020-07-14 09:00:00,18010,12142,1720795,2646867,6088457,1720795,12312678
2020-07-14 09:15:00,18010,12142,1721899,2650178,6093976,1721899,12323716
2020-07-14 09:30:00,18010,12142,1723002,2650178,6096183,1723002,12327028
2020-07-14 09:45:00,18010,12142,1723002,2650178,6095079,1723002,12325924
2020-07-14 10:00:00,18010,12142,1721899,2650178,6093976,1721899,12323716
2020-07-14 10:15:00,18010,12142,1721899,2649075,6093976,1721899,12321509
2020-07-14 10:30:00,18010,12142,1721899,2649075,6092872,1721899,12321509
2020-07-14 10:45:00,18010,12142,1721899,2649075,6093976,1721899,12322612
2020-07-14 11:00:00,18010,12142,1723002,2650178,6096183,1723002,12325924
2020-07-14 11:15:00,18010,12142,1723002,2651282,6098391,1723002,12331443
2020-07-14 11:30:00,18010,12142,1724106,2652386,6101702,1724106,12336962
2020-07-14 11:45:00,18010,12142,1725210,2654594,6105013,1725210,12343584
2020-07-14 12:00:00,18010,12142,1726314,2655697,6107221,1726314,12350207
2020-07-14 12:15:00,18010,12142,1727417,2656801,6110532,1727417,12356830
2020-07-14 12:30:00,18010,12142,1727417,2657905,6112740,1727417,12360141
2020-07-14 12:45:00,18010,12142,1727417,2657905,6113844,1727417,12362349
2020-07-14 13:00:00,18010,12142,1727417,2657905,6112740,1727417,12361245
2020-07-14 13:15:00,18010,12142,1726314,2656801,6110532,1726314,12355726
2020-07-14 13:30:00,18010,12142,1725210,2654594,6106117,1725210,12346896
2020-07-14 13:45:00,18010,12142,1724106,2652386,6099494,1724106,12333650
2020-07-14 14:00:00,18010,12142,1720795,2647971,6090664,1720795,12315990
2020-07-14 14:15:00,18010,12142,1718587,2643556,6079626,1718587,12293914
2020-07-14 14:30:00,17848,12142,1714172,2636933,6066381,1714172,12266320
2020-07-14 14:45:00,17848,12142,1709757,2630310,6050928,1709757,12235414
2020-07-14 15:00:00,17848,12142,1705342,2623688,6033268,1705342,12200093
2020-07-14 15:15:00,17686,12142,1699823,2614857,6014503,1699823,12161460
2020-07-14 15:30:00,17686,12142,1694304,2606027,5993531,1694304,12119517
2020-07-14 15:45:00,17686,12142,1687681,2596093,5971456,1687681,12075365
2020-07-14 16:00:00,17523,12142,1681059,2586159,5949380,1681059,12030110
2020-07-14 16:15:00,17523,12142,1674436,2576225,5926201,1674436,11983752
2020-07-14 16:30:00,17361,12142,1668917,2567395,5904125,1668917,11939600
2020-07-14 16:45:00,17361,12142,1662294,2557461,5883153,1662294,11896553
2020-07-14 17:00:00,17361,12142,1656775,2548631,5863285,1656775,11855713
2020-07-14 17:15:00,17199,12142,1651257,2540904,5844521,1651257,11818184
2020-07-14 17:30:00,17199,12142,1646841,2534281,5827964,1646841,11785071
2020-07-14 17:45:00,17199,12142,1642426,2527659,5813615,1642426,11755269
2020-07-14 18:00:00,17199,12142,1639115,2522140,5801474,1639115,11730986
2020-07-14 18:15:00,17037,12142,1636907,2517725,5791540,1636907,11712221
2020-07-14 18:30:00,17037,12142,1634700,2515517,5784917,1634700,11697872
2020-07-14 18:45:00,17037,12142,1633596,2512206,5779398,1633596,11686835
2020-07-14 19:00:00,17037,12142,1632492,2511102,5776087,1632492,11679108
2020-07-14 19:15:00,17037,12142,1631388,2509998,5773879,1631388,11674693
2020-07-14 19:30:00,17037,12142,1631388,2509998,5771671,1631388,11672485
2020-07-14 19:45:00,17037,12142,1631388,2508894,5771671,1631388,11670278
2020-07-14 20:00:00,17037,12142,1630285,2508894,5770568,1630285,11668070
2020-07-14 20:15:00,17037,12142,1630285,2507791,5768360,1630285,11664759
2020-07-14 20:30:00,17037,12142,1629181,2506687,5766153,1629181,11659240
2020-07-14 20:45:00,17037,12142,1628077,2505583,5761737,1628077,11651514
2020-07-14 21:00:00,17037,12142,1626973,2502272,5756219,1626973,11639372
2020-07-14 21:15:00,17037,12142,1624766,2498960,5747388,1624766,11621711
2020-07-14 21:30:00,16874,12142,1621454,2494545,5736350,1621454,11599636
2020-07-14 21:45:00,16874,12142,1617039,2487923,5723105,1617039,11572041
2020-07-14 22:00:00,16874,12142,1612624,2480196,5705445,1612624,11537824
2020-07-14 22:15:00,16712,12142,1607105,2471366,5684473,1607105,11495880
2020-07-14 22:30:00,16712,12142,1599379,2461432,5660190,1599379,11446210
2020-07-14 22:45:00,16550,12142,1591652,2448187,5631491,1591652,11387710
2020-07-14 23:00:00,16550,11038,1581718,2433837,5598378,1581718,11321483
2020-07-14 23:15:00,16388,11038,1567369,2410658,5545396,1567369,11213312
2020-07-14 23:30:00,16225,11038,1548605,2383063,5480273,1548605,11081962
2020-07-14 23:45:00,16063,11038,1543086,2373129,5458198,1543086,11037811
2020-07-15 00:00:00,16063,11038,1543086,2373129,5458198,1543086,11037811
2020-07-15 00:15:00,16063,11038,1543086,2373129,5458198,1543086,11037811
2020-07-15 00:30:00,16063,11038,1543086,2373129,5458198,1543086,11037811
2020-07-15 00:45:00,16063,11038,1543086,2373129,5458198,1543086,11037811
2020-07-15 01:00:00,16063,11038,1543086,2373129,5458198,1543086,11037811
2020-07-15 01:15:00,16063,11038,1545294,2377545,5468132,1545294,11057679
2020-07-15 01:30:00,16225,11038,1548605,2381960,5478066,1548605,11077547
2020-07-15 01:45:00,16225,11038,1550812,2385271,5485792,1550812,11093000
2020-07-15 02:00:00,16225,11038,1551916,2386375,5489104,1551916,11100727
2020-07-15 02:15:00,16225,11038,1550812,2386375,5488000,1550812,11097415
2020-07-15 02:30:00,16225,11038,1549709,2383063,5481377,1549709,11085274
2020-07-15 02:45:00,16225,11038,1547501,2379752,5473651,1547501,11068717
2020-07-15 03:00:00,16063,11038,1545294,2376441,5465924,1545294,11053264
2020-07-15 03:15:00,16063,11038,1543086,2374233,5459301,1543086,11040019
2020-07-15 03:30:00,16063,11038,1541982,2372026,5455990,1541982,11033396
2020-07-15 03:45:00,16063,11038,1541982,2372026,5455990,1541982,11032292
2020-07-15 04:00:00,16063,11038,1543086,2373129,5459301,1543086,11038915
2020-07-15 04:15:00,16063,11038,1545294,2377545,5467028,1545294,11055472
2020-07-15 04:30:00,16225,11038,1548605,2383063,5480273,1548605,11081962
2020-07-15 04:45:00,16225,11038,1554124,2390790,5499038,1554124,11119491
2020-07-15 05:00:00,16225,11038,1560747,2400724,5523321,1560747,11168057
2020-07-15 05:15:00,16388,11038,1569577,2413969,5553123,1569577,11227662
2020-07-15 05:30:00,16550,11038,1579511,2429422,5587340,1579511,11299407
2020-07-15 05:45:00,16550,11038,1590549,2447083,5627076,1590549,11378880
2020-07-15 06:00:00,16712,12142,1602690,2465847,5671227,1602690,11467182
2020-07-15 06:15:00,16874,12142,1615936,2485715,5717586,1615936,11561003
2020-07-15 06:30:00,17037,12142,1629181,2506687,5765049,1629181,11658136
2020-07-15 06:45:00,17199,12142,1643530,2527659,5813615,1643530,11756373
2020-07-15 07:00:00,17361,12142,1656775,2548631,5861078,1656775,11851298
2020-07-15 07:15:00,17361,12142,1668917,2567395,5905229,1668917,11941808
2020-07-15 07:30:00,17523,12142,1681059,2586159,5947173,1681059,12025695
2020-07-15 07:45:00,17686,12142,1690993,2601612,5984701,1690993,12100752
2020-07-15 08:00:00,17686,12142,1699823,2615961,6016711,1699823,12165876
2020-07-15 08:15:00,17848,12142,1707549,2626999,6042098,1707549,12218857
2020-07-15 08:30:00,17848,12142,1713068,2635829,6063070,1713068,12260801
2020-07-15 08:45:00,18010,12142,1717483,2642452,6078523,1717483,12291707
2020-07-15 09:00:00,18010,12142,1720795,2646867,6088457,1720795,12312678
2020-07-15 09:15:00,18010,12142,1721899,2650178,6093976,1721899,12323716
2020-07-15 09:30:00,18010,12142,1723002,2650178,6096183,1723002,12327028
2020-07-15 09:45:00,18010,12142,1723002,2650178,6095079,1723002,12325924
2020-07-15 10:00:00,18010,12142,1721899,2650178,6093976,1721899,12323716
2020-07-15 10:15:00,18010,12142,1721899,2649075,6093976,1721899,12321509
2020-07-15 10:30:00,18010,12142,1721899,2649075,6092872,1721899,12321509
2020-07-15 10:45:00,18010,12142,1721899,2649075,6093976,1721899,12322612
2020-07-15 11:00:00,18010,12142,1723002,2650178,6096183,1723002,12325924
2020-07-15 11:15:00,18010,12142,1723002,2651282,6098391,1723002,12331443
2020-07-15 11:30:00,18010,12142,1724106,2652386,6101702,1724106,12336962
2020-07-15 11:45:00,18010,12142,1725210,2654594,6105013,1725210,12343584
2020-07-15 12:00:00,18010,12142,1726314,2655697,6107221,1726314,12350207
2020-07-15 12:15:00,18010,12142,1727417,2656801,6110532,1727417,12356830
2020-07-15 12:30:00,18010,12142,1727417,2657905,6112740,1727417,12360141
2020-07-15 12:45:00,18010,12142,1727417,2657905,6113844,1727417,12362349
2020-07-15 13:00:00,18010,12142,1727417,2657905,6112740,1727417,12361245
2020-07-15 13:15:00,18010,12142,1726314,2656801,6110532,1726314,12355726
2020-07-15 13:30:00,18010,12142,1725210,2654594,6106117,1725210,12346896
2020-07-15 13:45:00,18010,12142,1724106,2652386,6099494,1724106,12333650
2020-07-15 14:00:00,18010,12142,1720795,2647971,6090664,1720795,12315990
2020-07-15 14:15:00,18010,12142,1718587,2643556,6079626,1718587,12293914
2020-07-15 14:30:00,17848,12142,1714172,2636933,6066381,1714172,12266320
2020-07-15 14:45:00,17848,12142,1709757,2630310,6050928,1709757,12235414
2020-07-15 15:00:00,17848,12142,1705342,2623688,6033268,1705342,12200093
2020-07-15 15:15:00,17686,12142,1699823,2614857,6014503,1699823,12161460
2020-07-15 15:30:00,17686,12142,1694304,2606027,5993531,1694304,12119517
2020-07-15 15:45:00,17686,12142,1687681,2596093,5971456,1687681,12075365
2020-07-15 16:00:00,17523,12142,1681059,2586159,5949380,1681059,12030110
2020-07-15 16:15:00,17523,12142,1674436,2576225,5926201,1674436,11983752
2020-07-15 16:30:00,17361,12142,1668917,2567395,5904125,1668917,11939600
2020-07-15 16:45:00,17361,12142,1662294,2557461,5883153,1662294,11896553
2020-07-15 17:00:00,17361,12142,1656775,2548631,5863285,1656775,11855713
2020-07-15 17:15:00,17199,12142,1651257,2540904,5844521,1651257,11818184
2020-07-15 17:30:00,17199,12142,1646841,2534281,5827964,1646841,11785071
2020-07-15 17:45:00,17199,12142,1642426,2527659,5813615,1642426,11755269
